is_viral,hashtag,count
False,coolstyle,1
False,cormio,1
False,corporateoutfit,1
False,couple,1
False,cpcm,1
False,creativestyle,1
False,crema,1
False,croisiere,1
False,culturaitaliana,1
False,curly,1
False,dailyコーデ,1
False,day,1
False,dayinthelife,1
False,dazzlin,1
False,dietrolequinte,1
False,digitalnomadvisa,1
False,donneconstile,1
False,dressedtothrill,1
False,dresses,1
False,dressup,1
False,drop,1
False,eleganciaclassica,1
False,elegant,1
False,elegantoutfits,1
False,elegantstyle,1
False,eleganza,1
False,eleganzaitaliana,1
False,estate,1
False,estateitaliana,1
False,european,1
False,europeanfashion,1
False,europeansummer,1
False,europesummer,1
False,eurosummer2025,1
False,event,1
False,fashionable,1
False,fashionblogger,1
False,fashioncreativity,1
False,fashiondiaries,1
False,fashionedit,1
False,fashionicon,1
False,fashionideas,1
False,fashioninspiration,1
False,fashionitalia,1
False,fashionjourney,1
False,fashionlook,1
False,fashionlovers,1
False,fashionrevolution,1
False,fashionsale,1
False,fashionshow,1
False,fashionstyle,1
False,fashiontransformation,1
False,fashiontrend,1
False,fashionvibes,1
False,fashionweek,1
False,femenine,1
False,femenineenergy,1
False,firenze,1
False,florenceitaly,1
False,followformorevideo,1
False,followme,1
False,foru,1
False,foryoupagee,1
False,foryour,1
False,foryourpages,1
False,fy,1
False,fyfyfyfy,1
False,gafas,1
False,genzstyle,1
False,getreadywithme,1
False,girl,1
False,girldinner,1
False,giuseppezanotti,1
False,glamour,1
False,globalwork,1
False,guコーデ,1
False,halloween,1
False,hiphop,1
False,holidayfits,1
False,howto,1
False,howto動画,1
False,ideasforsummer,1
False,ilpuntomoda,1
False,inspiration,1
False,invitedby,1
False,ioetestore,1
False,ispirazionemoda,1
False,italianculture,1
False,italianfashionstyle,1
False,italianmen,1
False,italiano,1
False,italianoutfit,1
False,italianstudent,1
False,italiansuits,1
False,italiansummeraesthetic,1
False,italiansummeraesthetics,1
False,italoamericana,1
False,italyaesthetic,1
False,italylookbook,1
False,italylooks,1
False,italyootd,1
False,italyoutfits,1
False,italystyle,1
False,italysummer2025,1
False,italytravel,1
False,jk,1
False,koreanfashion,1
False,kpop,1
False,ladies,1
False,ladiesoftiktok,1
False,ladolcevita,1
False,lady,1
False,lagodicomo,1
False,learntiktok,1
False,lecce,1
False,lecco,1
False,lemon,1
False,lemondress,1
False,linenpants,1
False,linenshirt,1
False,loaferstyle,1
False,lookchic,1
False,lookdellagiornata,1
False,lookestate,1
False,lookswitch,1
False,love,1
False,luxurymenlifestyle,1
False,luxurymenswear,1
False,mailand,1
False,maladeverao,1
False,marcorambaldi,1
False,marelboutique,1
False,marinitrani,1
False,marryme,1
False,matchingfits,1
False,men,1
False,menclass,1
False,menover60,1
False,mensagem,1
False,menstailoring,1
False,menswear,1
False,menwithclassandstyle,1
False,menwithstyle,1
False,milanfashionweek,1
False,milanitaly,1
False,milanoitaly,1
False,milanoutfit,1
False,milanstyle,1
False,milanvlog,1
False,milybilet,1
False,minimalistfashion,1
False,modaestate2025,1
False,modauomo,1
False,modelwalk,1
False,moderngentleman,1
False,modestgirlies,1
False,mostviralvideo,1
False,movingabroad,1
False,mycustomshoes,1
False,nauticalaesthetic,1
False,negozidimoda,1
False,newcollection,1
False,newcollections,1
False,nightout,1
False,nofilterstyle,1
False,normalpeople,1
False,officechic,1
False,officelife,1
False,oldmoneymenswear,1
False,oldmoneystyle,1
False,olコーデ,1
False,online,1
False,ootdinspiration,1
False,ootditalia,1
False,ootditaly,1
False,ootdmagazine,1
False,outfitdelgiorno,1
False,outfitdiclasse,1
False,outfitsideas,1
False,outfitsiwore,1
False,outfitstrend,1
False,outfitvacanza,1
False,palmbeach,1
False,palmbeachisland,1
False,palmbeachstylist,1
False,pantalones,1
